Rent,FloorSpace,YearBuilt,Bath,CentralHeating,HotWater,TiledBath,WindowType,KitchenType,LeaseDuration,AgeCategory,FloorSpaceCategory,NetRentPerSqm,Rooms,AddressType,ResidenceType
693.29,50,1971,0,1,0,0,0,0,2,4,1,13.8658,1,2,2
736.6,70,1971,0,1,0,0,0,0,26,4,2,10.522857,3,2,2
732.23,50,1971,0,1,0,0,0,0,1,4,1,14.6446,1,2,2
1295.14,55,1893,0,1,0,0,0,0,0,1,2,23.548,3,2,2
394.97,46,1957,0,0,1,0,0,0,27,3,1,8.586304,3,2,2
1285.64,94,1971,0,1,0,1,0,0,2,4,3,13.677021,4,2,2
476.31,28,1967,0,1,0,0,1,1,9,4,1,17.011071,1,2,2
709.57,36,1971,0,1,0,0,0,1,3,4,1,19.710278,1,2,2
852.74,33,1971,0,1,0,0,0,0,1,4,1,25.840606,1,2,2
657.44,57,1985,0,1,0,1,0,1,9,6,2,11.534035,2,2,2
1237.84,75,1985,0,1,0,1,0,1,3,6,2,16.504533,3,2,2
1212.03,83,1985,0,1,0,1,0,1,1,6,3,14.602771,3,2,2
527.54,50,1957,0,1,0,1,0,0,4,3,1,10.5508,2,2,2
1183.62,71,1989,0,1,0,1,0,1,3,6,2,16.670704,3,2,2
852.3,93,1971,0,1,0,1,0,0,4,4,3,9.164516,4,2,2
812.8,93,1971,0,1,0,1,0,0,12,4,3,8.739785,4,2,2
593.07,79,1971,0,1,0,0,0,0,20,4,2,7.507215,3,2,2
1623.63,60,1985,0,1,0,1,0,1,1,6,2,27.0605,2,3,3
2680,145,1971,0,1,0,1,0,1,2,4,3,18.482759,4,3,3
837.84,76,1957,0,1,0,0,0,0,20,3,2,11.024211,3,1,1
875.1,104,1957,0,1,0,1,0,0,3,3,3,8.414423,5,2,1
765.39,93,1971,0,1,0,1,0,0,3,4,3,8.23,4,2,1
422.82,50,1957,0,0,0,0,0,0,9,3,1,8.4564,2,2,2
414.2,50,1880,0,0,0,0,0,0,8,1,1,8.284,1,2,2
480.34,40,1959,0,1,0,0,0,0,2,3,1,12.0085,1,2,2
1454.12,74,1957,0,1,0,0,0,0,2,3,2,19.65027,3,2,2
759.2,76,1957,0,1,0,1,0,0,0,3,2,9.989474,3,2,2
700,36,1965,0,1,0,0,0,0,4,3,1,19.444444,2,2,2
670.86,59,1957,0,0,0,0,1,0,5,3,2,11.370508,1,2,2
380,40,1911,1,0,0,0,0,0,32,1,1,9.5,2,2,2
240.4,68,1893,0,0,1,0,0,0,39,1,2,3.535294,2,2,2
1030,56,1971,0,1,0,1,0,0,1,4,2,18.392857,2,2,2
452.7,32,1971,0,1,0,0,0,1,13,4,1,14.146875,1,2,2
900,55,1971,0,1,0,0,0,1,0,4,2,16.363636,2,2,2
925.4,45,1956,0,1,0,0,0,0,1,3,1,20.564444,2,2,2
928.68,54,1980,0,1,0,1,0,0,13,5,2,17.197778,2,2,2
1204.45,79,1980,0,1,0,0,0,0,11,5,2,15.246203,3,2,2
1004.45,50,1980,0,1,0,1,0,0,1,5,1,20.089,2,2,2
1300.23,75,1956,0,1,0,1,0,1,7,3,2,17.3364,3,2,2
820,73,1955,0,0,0,1,0,0,5,3,2,11.232877,3,1,1
554.56,43,1962,0,1,0,1,0,0,5,3,1,12.896744,2,2,2
664.08,50,1962,0,1,0,1,0,0,3,3,1,13.2816,2,2,2
721.21,52,1959,0,1,0,1,0,0,0,3,2,13.869423,2,2,2
239.28,45,1933,0,0,0,1,0,0,4,2,1,5.317333,2,2,2
489.71,39,1957,0,1,0,1,0,0,9,3,1,12.556667,2,2,3
421.6,40,1957,0,1,0,0,0,0,27,3,1,10.54,2,2,3
799.6,52,1957,0,1,0,0,0,0,2,3,2,15.376923,2,2,3
566.19,56,1957,0,1,0,0,0,0,17,3,2,10.110536,2,2,3
1092.39,84,1976,0,1,0,1,0,0,12,4,3,13.004643,4,2,2
449.91,35,1980,0,1,0,1,0,0,3,5,1,12.854571,1,2,2
982.05,65,1963,0,1,0,0,1,0,0,3,2,15.108462,2,2,3
679.55,69,1957,0,1,0,0,0,0,20,3,2,9.848551,3,2,3
720.25,95,1933,0,1,0,0,0,0,40,2,3,7.581579,4,2,3
610.11,59,1941,0,1,0,0,0,0,2,2,2,10.340847,3,2,3
776.56,68,1971,0,1,0,0,0,0,18,4,2,11.42,2,2,3
1720.85,100,1971,0,1,0,0,0,1,0,4,3,17.2085,3,2,3
799.98,68,1971,0,1,0,1,0,0,20,4,2,11.764412,2,2,3
658.4,55,1939,0,0,0,0,0,1,1,2,2,11.970909,2,2,3
1350,135,1933,0,1,0,0,0,0,7,2,3,10,5,2,3
483.82,23,1959,0,1,0,1,0,0,1,3,1,21.035652,1,2,2
765,62,1971,0,1,0,1,0,0,15,4,2,12.33871,2,2,3
337.74,35,1957,0,0,1,0,0,0,6,3,1,9.649714,1,2,3
375.74,35,1957,0,0,1,0,0,0,1,3,1,10.735429,1,2,3
347.94,45,1957,0,0,1,0,0,0,15,3,1,7.732,2,2,3
443.4,35,1957,0,0,1,1,0,0,0,3,1,12.668571,2,2,3
1348.5,106,1893,0,1,0,1,0,0,5,1,3,12.721698,3,2,2
918.27,125,1893,0,0,0,0,0,0,11,1,3,7.34616,4,2,2
569.52,36,1971,0,1,0,0,0,0,3,4,1,15.82,1,2,3
681.48,73,1971,0,1,0,0,0,0,11,4,2,9.335342,3,2,3
767.35,42,1971,0,1,0,0,0,0,6,4,1,18.270238,2,2,3
564.55,41,1957,0,1,0,1,0,0,32,3,1,13.769512,2,2,3
1408.91,74,1971,0,1,0,0,0,0,2,4,2,19.039324,4,2,2
1054.95,86,1957,0,1,0,0,0,0,14,3,3,12.26686,4,2,2
747.96,89,1980,0,1,0,0,0,0,3,5,3,8.404045,4,2,2
