Id,Married,Dependents,Education,SelfEmployed,Income,Loan,Status
LP001002,No,0,Graduate,No,5849,83,Y
LP001003,Yes,1,Graduate,No,4583,128,N
LP001005,Yes,0,Graduate,Yes,3000,66,Y
LP001006,Yes,0,Not Graduate,No,2583,120,Y
LP001008,No,0,Graduate,No,6000,141,Y
LP001011,Yes,2,Graduate,Yes,5417,267,Y
LP001013,Yes,0,Not Graduate,No,2333,95,Y
LP001014,Yes,5,Graduate,No,3036,158,N
LP001018,Yes,2,Graduate,No,4006,168,Y
LP001020,Yes,1,Graduate,No,12841,349,N
LP001024,Yes,2,Graduate,No,3200,70,Y
LP001027,Yes,2,Graduate,,2500,109,Y
LP001028,Yes,2,Graduate,No,3073,200,Y
LP001029,No,0,Graduate,No,1853,114,N
LP001030,Yes,2,Graduate,No,1299,17,Y
LP001032,No,0,Graduate,No,4950,125,Y
LP001034,No,1,Not Graduate,No,3596,100,Y
LP001036,No,0,Graduate,No,3510,76,N
LP001038,Yes,0,Not Graduate,No,4887,133,N
LP001041,Yes,0,Graduate,,2600,115,Y
LP001043,Yes,0,Not Graduate,No,7660,104,N
LP001046,Yes,1,Graduate,No,5955,315,Y
LP001047,Yes,0,Not Graduate,No,2600,116,N
LP001050,Yes,2,Not Graduate,No,3365,112,N
LP001052,Yes,1,Graduate,,3717,151,N
LP001066,Yes,0,Graduate,Yes,9560,191,Y
LP001068,Yes,0,Graduate,No,2799,122,Y
LP001073,Yes,2,Not Graduate,No,4226,110,Y
LP001086,No,0,Not Graduate,No,1442,35,N
LP001087,No,2,Graduate,,3750,120,Y
LP001091,Yes,1,Graduate,,4166,201,N
LP001095,No,0,Graduate,No,3167,74,N
LP001097,No,1,Graduate,Yes,4692,106,N
LP001098,Yes,0,Graduate,No,3500,114,Y
LP001100,No,4,Graduate,No,12500,320,N
LP001106,Yes,0,Graduate,No,2275,54,Y
LP001109,Yes,0,Graduate,No,1828,100,N
LP001112,Yes,0,Graduate,No,3667,144,Y
LP001114,No,0,Graduate,No,4166,184,Y
LP001116,No,0,Not Graduate,No,3748,110,Y
LP001119,No,0,Graduate,No,3600,80,N
LP001120,No,0,Graduate,No,1800,47,Y
LP001123,Yes,0,Graduate,No,2400,75,Y
LP001131,Yes,0,Graduate,No,3941,134,Y
